,ts_code,trade_date,close,open,high,low,change,vol,amount
1,002933.SZ,20190329,53.98,51.55,60.96,50.53,2.48,95724665.0,5180098261.92
2,002933.SZ,20190228,51.5,40.38,54.3,40.38,11.23,67564680.0,3157031658.42
3,002933.SZ,20190131,40.27,40.19,47.98,38.51,0.05,96927629.0,4234457681.31
4,002933.SZ,20181228,40.22,42.23,43.86,39.86,-1.07,45185763.0,1886753925.91
5,002933.SZ,20181130,41.29,46.66,51.93,39.92,-5.91,120026131.0,5560050381.46
6,002933.SZ,20181031,47.2,53.58,54.13,39.8,-9.2,108350204.0,5016140361.12
7,002933.SZ,20180928,56.4,47.33,73.95,47.33,13.37,154047329.0,9735699227.02
8,002933.SZ,20180831,43.03,26.94,43.03,26.94,20.58,95403.0,3679486.29
0,600391.SH,20190430,14.67,16.92,18.8,14.18,-2.12,215150649.0,3718078195.0
1,600391.SH,20190329,16.79,14.5,19.9,14.05,2.29,424851033.0,7206711979.0
2,600391.SH,20190228,14.5,10.99,15.27,10.99,3.54,139002625.0,1839562733.0
3,600391.SH,20190131,10.96,10.94,13.35,10.91,0.03,139795951.0,1726181689.0
4,600391.SH,20181228,10.93,12.19,12.74,10.82,-0.91,52503774.0,619858019.0
5,600391.SH,20181130,11.84,11.22,13.32,11.13,0.65,108046180.0,1313074314.0
6,600391.SH,20181031,11.19,13.47,13.56,10.41,-2.41,69232329.0,795037234.0
7,600391.SH,20180928,13.6,13.3,14.32,13.16,0.22,80637759.0,1111378684.0
8,600391.SH,20180831,13.38,15.25,15.46,13.3,-1.83,79083636.0,1107819011.0
9,600391.SH,20180731,15.21,14.45,16.4,14.35,0.66,155847875.0,2439172895.0
10,600391.SH,20180629,14.55,15.33,16.3,13.12,-1.12,75383912.0,1115670871.0
11,600391.SH,20180531,15.67,18.45,19.15,15.49,-2.79,99424361.0,1762109918.0
12,600391.SH,20180427,18.46,19.96,22.66,18.19,-1.64,217895962.0,4600901080.0
13,600391.SH,20180330,20.1,17.7,20.57,17.26,2.17,232158086.0,4399196606.0
